Designator,Mid X,Mid Y,Rotation,Layer
R31,79.575128,-47.05,270.0,bottom
R32,80.075128,-47.05,270.0,bottom
R33,80.575129,-47.05,270.0,bottom
R34,79.7,-38.61,270.0,bottom
R35,80.2,-38.61,270.0,bottom
R36,80.700001,-38.61,270.0,bottom
R37,68.924999,-50.950001,45.0,bottom
R38,63.724999,-52.949999,270.0,bottom
R39,74.924999,-53.1,180.0,bottom
R4,76.35,-43.359999,0.0,bottom
R40,74.924999,-52.075001,180.0,bottom
R41,74.849999,-51.525001,0.0,bottom
R42,63.649924,-44.725076,270.0,bottom
R43,86.300127,-54.425,180.0,bottom
R44,86.424999,-45.985,180.0,bottom
R45,64.85,-49.45,0.0,bottom
R46,74.947999,-55.15,0.0,bottom
R47,74.947999,-55.65,0.0,bottom
R48,74.947999,-54.65,0.0,bottom
R49,73.124999,-56.825,90.0,bottom
R5,76.425,-43.909999,180.0,bottom
R50,72.599999,-56.825,90.0,bottom
R51,72.074999,-56.83,90.0,bottom
R52,71.574999,-56.825,90.0,bottom
R53,71.074999,-56.825,90.0,bottom
R54,70.574998,-56.825,90.0,bottom
R55,68.849924,-42.725076,45.0,bottom
R56,65.325,-41.2,180.0,bottom
R57,74.849924,-44.875076,180.0,bottom
R58,74.849924,-43.850076,180.0,bottom
R59,73.7,-42.95,270.0,bottom
R6,87.55,-43.66,270.0,bottom
R60,87.425128,-49.775001,90.0,bottom
R61,87.55,-41.335001,90.0,bottom
R62,63.724999,-54.099999,270.0,bottom
R63,63.649924,-45.875076,270.0,bottom
R64,74.872924,-46.925076,0.0,bottom
R65,74.872924,-47.425076,0.0,bottom
R66,74.872924,-46.425076,0.0,bottom
R67,73.049924,-48.600076,90.0,bottom
R68,72.524924,-48.600076,90.0,bottom
R69,71.999924,-48.605076,90.0,bottom
R7,63.724999,-51.775,90.0,bottom
R70,71.499924,-48.600076,90.0,bottom
R71,70.999924,-48.600076,90.0,bottom
R72,70.499924,-48.600076,90.0,bottom
R73,70.999694,-37.75,0.0,bottom
R8,63.649924,-43.550076,90.0,bottom
R9,84.730127,-54.425,180.0,bottom
RSENSE1,70.025,-63.525,0.0,top
U1,75.645,-38.325,180.0,bottom
U10,71.750102,-45.324797,90.0,bottom
U11,66.399988,-44.675546,180.0,bottom
U12,77.05,-56.375,90.0,bottom
U18,73.075902,-35.300038,90.0,bottom
U2,79.32495,-50.325279,270.0,bottom
U3,75.63257,-48.175,0.0,top
U4,84.675064,-50.97453,0.0,bottom
U5,76.406723,-35.331954,0.0,bottom
U6,79.449822,-41.885279,270.0,bottom
U7,84.799936,-42.53453,0.0,bottom
U8,71.825177,-53.549721,90.0,bottom
U9,66.475063,-52.90047,180.0,bottom
